41 32
    #############
#...........#    ########
#.a...######............#
###############.........#
#....k......######......#
#.....a.....#    #......#
#........b..#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #...k..#
  #....k..#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
